paper_name,model,phase,wall_start,wall_end,wall_duration_s,initial_calls,retry_calls,total_calls,total_input_tokens,total_output_tokens,total_tokens,conditions_extracted,pytorch_peak_gb,nvidia_smi_pre_mb,nvidia_smi_post_mb,gpu_delta_mb,num_chunks,total_input_tokens_doc,success,error,conditions_per_minute,tokens_per_second
[107] Krüger1996,mistral-small-24b,extraction,2026-07-01T22:09:26.122379Z,2026-07-01T22:10:42.810000Z,76.687621,1,0,1,10287,807,11094,2,0.0,42634.0,43658.0,1024.0,1,7707,True,,1.56,144.66
[111] Gorshkov1990,mistral-small-24b,extraction,2026-07-01T22:11:19.523809Z,2026-07-01T22:13:16.797878Z,117.274069,1,0,1,8979,2184,11163,5,0.0,42634.0,43658.0,1024.0,1,6867,True,,2.56,95.19
[112] Pasch1995,mistral-small-24b,extraction,2026-07-01T22:13:52.083914Z,2026-07-01T22:14:52.355752Z,60.271838,1,0,1,9609,396,10005,1,0.0,42634.0,43658.0,1024.0,1,7346,True,,1.0,166.0
[113] Pasch,mistral-small-24b,extraction,2026-07-01T22:15:28.004026Z,2026-07-01T22:22:18.701781Z,410.697755,0,1,1,10876,4096,14972,0,0.0,42634.0,43658.0,1024.0,1,8443,True,,0.0,36.46
[115] Falkenhagen2000,mistral-small-24b,extraction,2026-07-01T22:22:56.656858Z,2026-07-01T22:24:02.352583Z,65.695725,1,0,1,8761,581,9342,1,0.0,42634.0,43658.0,1024.0,1,6517,True,,0.91,142.2
[117] Murgasova1998,mistral-small-24b,extraction,2026-07-01T22:24:39.201427Z,2026-07-01T22:25:18.581262Z,39.379835,1,0,1,7757,668,8425,1,0.0,42634.0,43608.0,974.0,1,5672,True,,1.52,213.94
[118] Trathnigg1994,mistral-small-24b,extraction,2026-07-01T22:25:54.044585Z,2026-07-01T22:26:49.038711Z,54.994126,1,0,1,7839,333,8172,1,0.0,42634.0,43616.0,982.0,1,5614,True,,1.09,148.6
[120] Trathnigg2001,mistral-small-24b,extraction,2026-07-01T22:27:25.198581Z,2026-07-01T22:28:15.421719Z,50.223138,1,0,1,11671,398,12069,1,0.0,42634.0,43658.0,1024.0,1,9107,True,,1.19,240.31
[121] Lochmuller1996,mistral-small-24b,extraction,2026-07-01T22:28:51.056963Z,2026-07-01T22:31:12.106814Z,141.049851,1,0,1,23307,9,23316,0,0.0,42634.0,43658.0,1024.0,1,19944,True,,0.0,165.3
[122] Kazanskii2000,mistral-small-24b,extraction,2026-07-01T22:31:48.762398Z,2026-07-01T22:34:36.682000Z,167.919602,2,0,2,41525,856,42381,2,0.0,42634.0,43658.0,1024.0,2,35758,True,,0.71,252.39
[123] Lee1999,mistral-small-24b,extraction,2026-07-01T22:35:13.449712Z,2026-07-01T22:35:47.519545Z,34.069833,1,0,1,8340,485,8825,1,0.0,42634.0,43658.0,1024.0,1,6203,True,,1.76,259.03
[124] Lee2001,mistral-small-24b,extraction,2026-07-01T22:36:24.302348Z,2026-07-01T22:37:58.826266Z,94.523918,1,0,1,12195,1543,13738,3,0.0,42634.0,43658.0,1024.0,1,10006,True,,1.9,145.34
[125] Gorbunov1997,mistral-small-24b,extraction,2026-07-01T22:38:34.932287Z,2026-07-01T22:39:19.341777Z,44.40949,1,0,1,9929,9,9938,0,0.0,42634.0,43658.0,1024.0,1,7866,True,,0.0,223.78
[126] Trathnigg1993,mistral-small-24b,extraction,2026-07-01T22:40:00.957730Z,2026-07-01T22:41:08.271964Z,67.314234,1,0,1,8994,700,9694,2,0.0,42634.0,43658.0,1024.0,1,6518,True,,1.78,144.01
[201] Ahmed2009,mistral-small-24b,extraction,2026-07-01T22:41:45.327470Z,2026-07-01T22:42:38.119634Z,52.792164,1,0,1,14198,864,15062,2,0.0,42634.0,43658.0,1024.0,1,11600,True,,2.27,285.31
[212] Cleaver2015,mistral-small-24b,extraction,2026-07-01T22:43:14.494760Z,2026-07-01T22:44:00.264415Z,45.769655,1,0,1,4730,1450,6180,3,0.0,42634.0,43078.0,444.0,1,2815,True,,3.93,135.02
[220] Grabowsky2011,mistral-small-24b,extraction,2026-07-01T22:44:36.555095Z,2026-07-01T22:48:29.896017Z,233.340922,2,0,2,52765,3921,56686,11,0.0,42634.0,43658.0,1024.0,2,45760,True,,2.83,242.93
[232] Malik2009,mistral-small-24b,extraction,2026-07-01T22:49:07.794971Z,2026-07-01T22:55:01.334513Z,353.539542,0,1,1,10357,4096,14453,0,0.0,42634.0,43658.0,1024.0,1,8013,True,,0.0,40.88
[233] Malik2012,mistral-small-24b,extraction,2026-07-01T22:55:38.690636Z,2026-07-01T22:57:24.873237Z,106.182601,1,0,1,15481,1646,17127,4,0.0,42634.0,43658.0,1024.0,1,13252,True,,2.26,161.3
[242] Rappel2003,mistral-small-24b,extraction,2026-07-01T22:58:02.666482Z,2026-07-01T23:00:46.034981Z,163.368499,1,0,1,14338,3645,17983,9,0.0,42634.0,43658.0,1024.0,1,11920,True,,3.31,110.08
[243] Rollet2012,mistral-small-24b,extraction,2026-07-01T23:01:23.351443Z,2026-07-01T23:03:08.052337Z,104.700894,1,0,1,13755,2679,16434,3,0.0,42634.0,43658.0,1024.0,1,11347,True,,1.72,156.96
