Reference,Author Year,Polymer,Alternate Polymer Names,End Groups,Solvents,Solvent Ratio (wt%),Solvent Ratio (vol%),Stationary Phase,Manufacturer,Base Material,Base Material Modification,Phase,Particle diameter (μm),Pore size (Å),Temperature (Celsius),Flow Rate (mL/min),Injected Polymer Concentration (g/L),Detector,Reference (Raw),Paper DOI,Corresponding Author Name,Corresponding Email Address,Physical Address,Publication Year (Raw),Critical Condition Basis,Critical Condition Confidence,Model Confidences,Qwen Confidence,Mistral Confidence,Analyte Polymer (Raw),Analyte Polymer (Standardized),Critical Component (Raw),Critical Component (Standardized),Architecture (Raw),Architecture (Standardized),Polymer (Raw),Alternate Polymer Names (Parsed from Raw),Polymer Parsing,End Groups (Raw),End Groups (Parsed),Solvents (Raw),Solvents (Standardized),Solvent Qualifiers (Standardized),Solvent Count (Standardized),Solvent Ratio (Raw),Solvent Ratio Units (Raw),Solvent Ratio Components (Standardized),Solvent Ratio Units (Standardized),Solvent Ratio Minimum (Standardized),Solvent Ratio Maximum (Standardized),Stationary Phase (Raw),Manufacturer (Raw),Base Material Source (Raw),Base Material Modification (Raw),Column Name (Raw),Column Mode (Raw),Column Mode (Standardized),Column Dimensions (Raw),Pore Size (Raw),Pore Size (Standardized),Temperature (Raw),Temperature (Standardized),Flow Rate (Raw),Flow Rate (Standardized),Injected Polymer Concentration (Raw),Detector (Raw),Aqueous Parameters (Raw),Aqueous Parameters (Standardized),Evidence Text,Notes
217,2016,Polystyrene,PS,,"Tetrahydrofuran, Hexane",,"42, 58",silica,,Silica,,,,50,43,0.5,,,[217] Gao2016.pdf,10.1016/j.polymer.2016.08.086,Yingfeng Tu,tuyingfeng@suda.edu.cn,"Suzhou Key Laboratory of Macromolecular Design and Precision Synthesis, Jiangsu Key Laboratory of Advanced Functional Polymer Design and Application, State and Local Joint Engineering Laboratory for Novel Functional Polymeric Materials, College of Chemistry, Chemical Engineering and Materials Science, Soochow University, Suzhou 215123, China",2016,LCCC method,explicit,{},,,"polystyrenes (PS), cyclic polystyrenes (c-PS)",Polystyrene,liquid chromatography at critical condition (LCCC),liquid chromatography at critical condition (LCCC),linear and cyclic,linear,"polystyrenes (PS), cyclic polystyrenes (c-PS)","PS, c-PS",linear,,,"[""THF"", ""n-hexane""]","[""Tetrahydrofuran"", ""Hexane""]","[null, null]",2,42/58,v/v,"[42.0, 58.0]",v/v,,,silica,,silica,,Nucleosil bare silica,,,250 x 4.6 mm,50 Å,50,43,43,0.5 mL/min,0.5,,,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","Liquid chromatography at critical condition (LCCC) was conducted with a single C18 bonded silica column (Nucleosil bare silica, 50 Å pore, 250 x 4.6 mm, 5 mm bead size), following the procedures as reported [29,48e50]. The mobile phase was a mixture of THF/n-hexane (42/58, v/v), and the flow rate was 0.5 mL/ min at 43 ° C.",Used to characterize the purity of cyclic polymers contaminated with linear precursors.
217,2016,Polystyrene,,,"Tetrahydrofuran, Hexane",,"42, 58",C18 bonded silica,,Silica,,Reverse,,50,43,0.5,,,[217] Gao2016.pdf,10.1016/j.polymer.2016.08.086,Yingfeng Tu,tuyingfeng@suda.edu.cn,"Suzhou Key Laboratory of Macromolecular Design and Precision Synthesis, Jiangsu Key Laboratory of Advanced Functional Polymer Design and Application, State and Local Joint Engineering Laboratory for Novel Functional Polymeric Materials, College of Chemistry, Chemical Engineering and Materials Science, Soochow University, Suzhou 215123, China",2016,Liquid chromatography at critical condition (LCCC) used to separate cyclic from linear contaminants,explicit,{},,,"cyclic polystyrene (c-PS), linear polystyrene (l-PS)",Polystyrene,polystyrene backbone,polystyrene backbone,cyclic and linear,cyclic,"cyclic polystyrene (c-PS), linear polystyrene (l-PS)","c-PS, l-PS",cyclic,,,"[""THF"", ""n-hexane""]","[""Tetrahydrofuran"", ""Hexane""]","[null, null]",2,42/58,v/v,"[42.0, 58.0]",v/v,,,C18 bonded silica,,C18 bonded silica,,Nucleosil bare silica,,,250 x 4.6 mm,50 Å,50,43,43,0.5 mL/min,0.5,,,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","Liquid chromatography at critical condition (LCCC) was conducted with a single C18 bonded silica column (Nucleosil bare silica, 50 Å pore, 250 x 4.6 mm, 5 mm bead size), following the procedures as reported [29,48e50]. The mobile phase was a mixture of THF/n-hexane (42/58, v/v), and the flow rate was 0.5 mL/ min at 43 ° C.",The text explicitly identifies the setup as LCCC. The mobile phase ratio 42/58 THF/n-hexane is the critical condition used to separate cyclic PS from linear PS contaminants.
217,2016,Polystyrene,,,"Tetrahydrofuran, Hexane",,"42, 58",C18 bonded silica,,Silica,,Reverse,,50,43,0.5,,,[217] Gao2016.pdf,10.1016/j.polymer.2016.08.086,Yingfeng Tu,tuyingfeng@suda.edu.cn,"Suzhou Key Laboratory of Macromolecular Design and Precision Synthesis, Jiangsu Key Laboratory of Advanced Functional Polymer Design and Application, State and Local Joint Engineering Laboratory for Novel Functional Polymeric Materials, College of Chemistry, Chemical Engineering and Materials Science, Soochow University, Suzhou 215123, China",2016,LCCC,explicit,{},,,polystyrene,Polystyrene,polystyrene,Polystyrene,linear,linear,polystyrene,,linear,,,"[""THF"", ""n-hexane""]","[""Tetrahydrofuran"", ""Hexane""]","[null, null]",2,42/58,v/v,"[42.0, 58.0]",v/v,,,C18 bonded silica,,C18 bonded silica,,Nucleosil bare silica,,,"250 x 4.6 mm, 5 mm bead size",50 Å,50,43,43,0.5 mL/min,0.5,,,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","Liquid chromatography at critical condition (LCCC) was conducted with a single C18 bonded silica column (Nucleosil bare silica, 50 Å pore, 250 x 4.6 mm, 5 mm bead size), following the procedures as reported [29,48e50]. The mobile phase was a mixture of THF/n-hexane (42/58, v/v), and the flow rate was 0.5 mL/ min at 43 ° C.",
233,2012,Polystyrene,PS,,"Tetrahydrofuran, Dimethylformamide",,"18, 82",silica-based octadecyl,,Silica,,Reverse,,300,30,0.5,,ELS,[233] Malik2012.pdf,10.1016/j.chroma.2012.04.045,Muhammad Imran Malik,mimran.malik@iccs.edu,"H.E.J. Research Institute of Chemistry, International Centre for Chemical and Biological Sciences (ICCBS), University of Karachi, Karachi, Pakistan",2012,LCCC,explicit,{},,,"PS, PEO",Polystyrene,PS,Polystyrene,block copolymer,block copolymer,"PS, PEO",,block,,,"[""THF"", ""DMF""]","[""Tetrahydrofuran"", ""Dimethylformamide""]","[null, null]",2,18-82,vol.%,"[18.0, 82.0]",v/v,,,silica-based octadecyl,,silica-based octadecyl,,Symmetry 300,,,250 mm × 4.6 mm,300 A˚,300,30,30,0.5 mL/min,0.5,,ELS,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",The CAP of PS was realised in a DMF–THF mobile phase on a RP octadecyl column.,Used for separating PS homopolymers from block copolymers.
233,2012,Poly(ethylene glycol),,,"Tetrahydrofuran, Dimethylformamide",,"96, 4",plain silica,,Silica,,,,300,30,0.5,,ELS,[233] Malik2012.pdf,10.1016/j.chroma.2012.04.045,Muhammad Imran Malik,mimran.malik@iccs.edu,"H.E.J. Research Institute of Chemistry, International Centre for Chemical and Biological Sciences (ICCBS), University of Karachi, Karachi, Pakistan",2012,LCCC,explicit,{},,,"PEO, PS",Poly(ethylene glycol),PEO,Poly(ethylene glycol),block copolymer,block copolymer,"PEO, PS",,block,,,"[""THF"", ""DMF""]","[""Tetrahydrofuran"", ""Dimethylformamide""]","[null, null]",2,96-4,vol.%,"[96.0, 4.0]",v/v,,,plain silica,,plain silica,,Nucleosil Si 300,,,250 mm × 4.6 mm,300 A˚,300,30,30,0.5 mL/min,0.5,,ELS,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",The CAP of PEO was realised in a THF–DMF mobile phase on a normal phase Si column.,Used for separating PEO homopolymers from block copolymers.
233,2012,Polystyrene,PS,,"Tetrahydrofuran, Dimethylformamide",,"18, 82",Silica-based octadecyl phase (RP),,Silica,,Reverse,,300,30,0.5,,UV (254 nm) and ELSD,[233] Malik2012.pdf,10.1016/j.chroma.2012.04.045,Muhammad Imran Malik,mimran.malik@iccs.edu,"H.E.J. Research Institute of Chemistry, International Centre for Chemical and Biological Sciences (ICCBS), University of Karachi, Karachi, Pakistan",2012,Liquid chromatography at critical conditions (LCCC) / Critical Adsorption Point (CAP),explicit,{},,,"Polystyrene (PS), PS-b-PEO block copolymers",Polystyrene,Polystyrene (PS) block,Polystyrene,Homopolymer and Block Copolymer,linear,"Polystyrene (PS), PS-b-PEO block copolymers",PS,linear,,,"[""THF"", ""DMF""]","[""Tetrahydrofuran"", ""Dimethylformamide""]","[null, null]",2,18-82,vol.%,"[18.0, 82.0]",v/v,,,Silica-based octadecyl phase (RP),,Silica-based octadecyl phase (RP),,Symmetry 300,,,250 mm x 4.6 mm,300 A,300,30,30,0.5 mL/min,0.5,,UV (254 nm) and ELSD,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",The CAP of PS was realised in a DMF–THF mobile phase on a RP octadecyl column... (THF–DMF: 18–82)... all PS standards elute at more or less the same elution volume irrespective of their molar masses.,Used as first dimension for 2D-LC. PEO block elutes in SEC mode.
233,2012,Poly(ethylene glycol),,,"Tetrahydrofuran, Dimethylformamide",,"96, 4",Plain silica (Normal Phase),,Silica,,,,300,30,0.5,,UV (254 nm) and ELSD,[233] Malik2012.pdf,10.1016/j.chroma.2012.04.045,Muhammad Imran Malik,mimran.malik@iccs.edu,"H.E.J. Research Institute of Chemistry, International Centre for Chemical and Biological Sciences (ICCBS), University of Karachi, Karachi, Pakistan",2012,Liquid chromatography at critical conditions (LCCC) / Critical Adsorption Point (CAP),explicit,{},,,"Polyethylene oxide (PEO), PS-b-PEO block copolymers",Poly(ethylene glycol),Polyethylene oxide (PEO) block,Poly(ethylene glycol),Homopolymer and Block Copolymer,linear,"Polyethylene oxide (PEO), PS-b-PEO block copolymers",PEO,linear,,,"[""THF"", ""DMF""]","[""Tetrahydrofuran"", ""Dimethylformamide""]","[null, null]",2,96-4,vol.%,"[96.0, 4.0]",v/v,,,Plain silica (Normal Phase),,Plain silica (Normal Phase),,Nucleosil Si 300,,,250 mm x 4.6 mm,300 A,300,30,30,0.5 mL/min,0.5,,UV (254 nm) and ELSD,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","The CAP of PEO was realised on a normal phase Si column... At a mobile phase composition of 96–4 (THF–DMF, vol.%), all PEO standards elute at more or less the same elution volume and show no molar mass dependence.",Used as first dimension for 2D-LC. PS block elutes in SEC mode.
28,1998,Polystyrene,,,"Tetrahydrofuran, Hexane",,"43.4, 56.6",silica gel,,Silica,,,,"300.0, 1000.0",,,,differential refractometer,[28] Braun1998.pdf,10.1080/10236669808009731,H. Rasch,,"Deutsches Kunststoff-institut, Schlossgartenstr. 6, 64289 Darmstadt, Germany",1998,critical point of adsorption,explicit,{},,,"polystyrene, polybutadiene",Polystyrene,polystyrene,Polystyrene,block copolymers,block copolymer,"polystyrene, polybutadiene",,block,,,"[""tetrahydrofuran"", ""n-hexane""]","[""Tetrahydrofuran"", ""Hexane""]","[null, null]",2,43.4% THF : 56.6% n-hexane,by volume,"[43.4, 56.6]",v/v,,,silica gel,,silica gel,,LiChrospher Si-300 and Si-1000,,,200x4mm i.d.,300 and 1000 Å,"300.0, 1000.0",,,,,,differential refractometer,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","At the critical point of polystyrene (PS), the polybutadiene block will be determined, while at the critical point of polybutadiene (PB) the PS block is to be analyzed. The critical point of PS is obtained at an eluent composition of THF/n-hexane 43.4% : 56.6% by volume.",Setup used for analyzing both PS and PB blocks in styrene-butadiene block copolymers.
28,1998,Polybutadiene,,,"Methyl Ethyl Ketone, Cyclohexane",,"98, 2",nonpolar,,,,,,"300.0, 1000.0",,,,differential refractometer,[28] Braun1998.pdf,10.1080/10236669808009731,H. Rasch,,"Deutsches Kunststoff-institut, Schlossgartenstr. 6, 64289 Darmstadt, Germany",1998,critical point of adsorption,explicit,{},,,"polybutadiene, polystyrene",Polybutadiene,polybutadiene,Polybutadiene,block copolymers,block copolymer,"polybutadiene, polystyrene",,block,,,"[""methyl ethyl ketone"", ""cyclohexane""]","[""Methyl Ethyl Ketone"", ""Cyclohexane""]","[null, null]",2,98% MEK : 2% cyclohexane,by volume,"[98.0, 2.0]",v/v,,,nonpolar,,nonpolar,,Nucleosil 5Cys 300+1000,,,250x4mm i.d.,300 and 1000 Å,"300.0, 1000.0",,,,,,differential refractometer,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","At the critical point of polybutadiene (PB), the polystyrene blocks are analyzed. The critical point of PB is obtained at a mobile phase composition of MEK/cyclohexane 98% : 2% by volume.",Setup used for analyzing PS blocks in styrene-butadiene block copolymers.
28,1998,Polystyrene,PS,,"Tetrahydrofuran, Hexane",,"43.4, 56.6",Silica gel,,Silica,,,,"300.0, 1000.0",,,,"Differential refractometer, UV detector, FTIR (LC Transform)",[28] Braun1998.pdf,10.1080/10236669808009731,H. Pasch,,"Deutsches Kunststoff-institut, Schlossgartenstr. 6, 64289 Darmstadt, Germany",1998,Critical point of adsorption of polystyrene,explicit,{},,,"Styrene-butadiene block copolymers (Samples 1, 2, 3, 4, 5)","Styrene-butadiene block copolymers (Samples 1, 2, 3, 4, 5)",Polystyrene (PS),Polystyrene,"Diblock and Triblock (PS-PB, PS-PB-PS)",diblock,"Styrene-butadiene block copolymers (Samples 1, 2, 3, 4, 5)",PS,diblock,,,"[""Tetrahydrofuran"", ""n-hexane""]","[""Tetrahydrofuran"", ""Hexane""]","[null, null]",2,43.4 : 56.6,volume percent,"[43.4, 56.6]",v/v,,,Silica gel,,Silica gel,,LiChrospher Si-300 + Si-1000,,,200 x 4 mm i.d.,300 A + 1000 A,"300.0, 1000.0",,,,,,"Differential refractometer, UV detector, FTIR (LC Transform)","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","The critical point of PS is obtained at an eluent composition of THF/n-hexane 43.4% : 56.6% by volume, all PS samples being eluted in one peak. At this eluent composition, PB is eluted in the SEC mode.",Used to determine the size of the polybutadiene blocks. PS blocks are chromatographically invisible.
